Episode,Score,Epsilon,Total Reward
449,0,0.1059,-0.70
450,0,0.1053,-0.70
451,0,0.1048,-0.70
452,0,0.1043,-0.70
453,0,0.1038,-0.70
454,0,0.1032,-0.70
455,0,0.1027,-0.70
456,0,0.1022,-0.70
457,0,0.1017,-0.70
458,0,0.1012,-0.70
459,0,0.1007,-0.70
460,0,0.1002,-0.70
461,0,0.0997,-0.70
462,0,0.0992,-0.70
463,0,0.0987,-0.70
464,0,0.0982,-0.70
465,0,0.0977,-0.70
466,0,0.0972,-0.70
467,0,0.0967,-0.70
468,0,0.0962,-0.70
469,0,0.0958,-0.70
470,0,0.0953,-0.70
471,0,0.0948,-0.70
472,0,0.0943,-0.70
473,0,0.0939,-0.70
474,0,0.0934,-0.70
475,0,0.0929,-0.70
476,0,0.0925,-0.70
477,0,0.0920,-0.27
478,0,0.0915,-0.70
479,0,0.0911,-0.70
480,0,0.0906,-0.70
481,0,0.0902,-0.70
482,0,0.0897,-0.70
483,0,0.0893,-0.70
484,0,0.0888,-0.70
485,0,0.0884,-0.70
486,0,0.0879,-0.70
487,0,0.0875,-0.70
488,0,0.0871,-0.70
489,0,0.0866,-0.70
490,0,0.0862,-0.70
491,0,0.0858,-0.70
492,0,0.0853,-0.70
493,0,0.0849,-0.70
494,0,0.0845,-0.30
495,0,0.0841,-0.70
496,0,0.0836,-0.70
497,0,0.0832,-0.70
498,0,0.0828,-0.70
499,0,0.0824,-0.70
500,0,0.0820,-0.25
501,0,0.0816,-0.22
502,0,0.0812,-0.70
503,0,0.0808,-0.22
504,0,0.0804,-0.70
505,0,0.0800,-0.70
506,0,0.0796,-0.70
507,0,0.0792,-0.70
508,0,0.0788,-0.70
509,0,0.0784,-0.70
510,0,0.0780,-0.70
511,0,0.0776,-0.70
512,0,0.0772,-0.70
513,0,0.0768,-0.70
514,0,0.0764,-0.70
515,0,0.0760,-0.70
516,0,0.0757,-0.70
517,0,0.0753,-0.70
518,0,0.0749,-0.70
519,0,0.0745,-0.70
520,0,0.0742,-0.70
521,0,0.0738,-0.70
522,0,0.0734,-0.70
523,0,0.0731,-0.70
524,0,0.0727,-0.70
525,0,0.0723,-0.70
526,0,0.0720,-0.70
527,0,0.0716,-0.70
528,0,0.0712,-0.70
529,0,0.0709,-0.70
530,0,0.0705,-0.70
531,0,0.0702,-0.70
532,0,0.0698,-0.70
533,0,0.0695,-0.70
534,0,0.0691,-0.70
535,0,0.0688,-0.70
536,0,0.0684,-0.70
537,0,0.0681,-0.70
538,0,0.0678,-0.70
539,0,0.0674,-0.70
540,0,0.0671,-0.70
541,0,0.0668,-0.70
542,0,0.0664,-0.70
543,0,0.0661,-0.70
544,0,0.0658,-0.70
545,0,0.0654,-0.70
546,0,0.0651,-0.70
547,0,0.0648,-0.70
548,0,0.0645,-0.70
549,0,0.0641,-0.70
550,0,0.0638,-0.70
551,0,0.0635,-0.70
552,0,0.0632,-0.70
553,0,0.0629,-0.70
554,0,0.0625,-0.70
555,0,0.0622,-0.70
556,0,0.0619,-0.70
557,0,0.0616,-0.70
558,0,0.0613,-0.70
559,0,0.0610,-0.70
560,0,0.0607,-0.70
561,0,0.0604,-0.70
562,0,0.0601,-0.70
563,0,0.0598,-0.70
564,0,0.0595,-0.70
565,0,0.0592,-0.70
566,0,0.0589,-0.70
567,0,0.0586,-0.70
568,0,0.0583,-0.70
569,0,0.0580,-0.70
570,0,0.0577,-0.70
571,0,0.0574,-0.70
572,0,0.0571,-0.70
573,0,0.0569,-0.70
574,0,0.0566,-0.26
575,0,0.0563,-0.70
576,0,0.0560,-0.70
577,0,0.0557,-0.70
578,0,0.0555,-0.29
579,0,0.0552,-0.70
580,0,0.0549,-0.70
581,0,0.0546,-0.24
582,0,0.0544,-0.70
583,0,0.0541,-0.70
584,0,0.0538,-0.70
585,0,0.0535,-0.70
586,0,0.0533,-0.70
587,0,0.0530,-0.21
588,0,0.0527,-0.70
589,0,0.0525,-0.70
590,0,0.0522,-0.70
591,0,0.0520,-0.25
592,0,0.0517,-0.70
593,0,0.0514,-0.25
594,0,0.0512,-0.70
595,0,0.0509,-0.23
596,0,0.0507,-0.70
597,0,0.0504,-0.70
598,0,0.0502,-0.70
599,0,0.0499,-0.70
600,0,0.0497,-0.70
601,0,0.0494,-0.70
602,0,0.0492,-0.70
603,0,0.0489,-0.70
604,0,0.0487,-0.28
605,0,0.0484,-0.70
606,0,0.0482,-0.26
607,0,0.0479,-0.70
608,0,0.0477,-0.28
609,0,0.0475,-0.70
610,0,0.0472,-0.70
611,0,0.0470,-0.70
612,0,0.0468,-0.70
613,0,0.0465,-0.70
614,0,0.0463,-0.26
615,0,0.0461,-0.70
616,0,0.0458,-0.70
617,0,0.0456,-0.70
618,0,0.0454,-0.70
619,0,0.0452,-0.70
620,0,0.0449,-0.70
621,0,0.0447,-0.70
622,0,0.0445,-0.25
623,0,0.0443,-0.24
624,0,0.0440,-0.70
625,0,0.0438,-0.70
626,0,0.0436,-0.25
627,0,0.0434,-0.70
628,0,0.0432,-0.70
629,0,0.0429,-0.70
630,0,0.0427,-0.70
631,0,0.0425,-0.70
632,0,0.0423,-0.70
633,0,0.0421,-0.70
634,0,0.0419,-0.27
635,0,0.0417,-0.23
636,0,0.0415,-0.70
637,0,0.0413,-0.70
638,0,0.0410,-0.70
639,0,0.0408,-0.70
640,0,0.0406,-0.70
641,0,0.0404,-0.70
642,0,0.0402,-0.70
643,0,0.0400,-0.70
644,0,0.0398,-0.70
645,0,0.0396,-0.70
646,0,0.0394,-0.28
647,0,0.0392,-0.26
648,0,0.0390,-0.70
649,0,0.0388,-0.70
650,0,0.0387,-0.70
651,0,0.0385,-0.70
652,0,0.0383,-0.23
653,0,0.0381,-0.24
654,0,0.0379,-0.70
655,0,0.0377,-0.70
656,0,0.0375,-0.70
657,0,0.0373,-0.70
658,0,0.0371,-0.70
659,0,0.0369,-0.70
660,0,0.0368,-0.70
661,0,0.0366,-0.70
662,0,0.0364,-0.70
663,0,0.0362,-0.70
664,0,0.0360,-0.70
665,0,0.0359,-0.25
666,0,0.0357,-0.24
667,0,0.0355,-0.70
668,0,0.0353,-0.70
669,0,0.0351,-0.70
670,0,0.0350,-0.70
671,0,0.0348,-0.70
672,0,0.0346,-0.26
673,0,0.0344,-0.26
674,0,0.0343,-0.70
675,0,0.0341,-0.26
676,0,0.0339,-0.26
677,0,0.0338,-0.70
678,0,0.0336,-0.70
679,0,0.0334,-0.70
680,0,0.0333,-0.70
681,0,0.0331,-0.28
682,0,0.0329,-0.27
683,0,0.0328,-0.25
684,0,0.0326,-0.25
685,0,0.0324,-0.25
686,0,0.0323,-0.70
687,0,0.0321,-0.23
688,0,0.0319,-0.23
689,0,0.0318,-0.26
690,0,0.0316,-0.70
691,0,0.0315,-0.70
692,0,0.0313,-0.70
693,0,0.0312,-0.70
694,0,0.0310,-0.70
695,0,0.0308,-0.23
696,0,0.0307,-0.70
697,0,0.0305,-0.70
698,0,0.0304,-0.70
699,0,0.0302,-0.70
700,0,0.0301,-0.70
701,0,0.0299,-0.70
702,0,0.0298,-0.70
703,0,0.0296,-0.70
704,0,0.0295,-0.70
705,0,0.0293,-0.70
706,0,0.0292,-0.22
707,0,0.0290,-0.70
708,0,0.0289,-0.22
709,0,0.0288,-0.21
710,0,0.0286,-0.70
711,0,0.0285,-0.70
712,0,0.0283,-0.70
713,0,0.0282,-0.70
714,0,0.0280,-0.70
715,0,0.0279,-0.70
716,0,0.0278,-0.20
717,0,0.0276,-0.26
718,0,0.0275,-0.70
719,0,0.0274,-0.70
720,0,0.0272,-0.70
